"store_id","product_code","product_name","quantity","brand","category","description","product_id"
"10","4104420083660","Apfel mit Banane und Hirse","14","Alnatura","Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Desserts, Frucht- und gemüsebasierte Lebensmittel, Fruchtbasierte Lebensmittel, Kompotte, Babykost (Ab dem 6. Monat)","Bio, EU-Öko-Verordnung, Glutenfrei, Ohne Konservierungsstoffe, Bio 7 Initiative, Biodynamische Landwirtschaft, DE-ÖKO-007, Demeter, en:eg-oko-verordnung, Ohne Farbstoffzusatz, Ohne Zusatz von Aromen","19"
"81","4104420220232","Milchreis","19","Alnatura","Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Getreide und Kartoffeln, Desserts, Samen, Getreideprodukte, Getreidekörner, Puddings, Reise, Milchreisbrei","Bio, Vegetarisch, EU-Öko-Verordnung, Vegan, DE-ÖKO-001, EU-Landwirtschaft, The Vegan Society","20"
"4","4104420240407","Fusilli","15","Alnatura","Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Teigwaren, Getrocknete Teigwaren","Bio, fr:Triman","21"
"30","4104420129603","Origin Sugo Toscano von LaSelva, Toskana","14","Alnatura","Condiments, Sauces, Sauces tomate, Sauces aux légumes, Sauces tomate aux petits légumes, en:groceries","Bio, Bio européen, IT-BIO-006","22"
"11","4104420034341","Wild-Preiselbeeren","8","Alnatura","Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Frühstücke, Frucht- und gemüsebasierte Lebensmittel, Brotaufstriche, Fruchtbasierte Lebensmittel, Pflanzliche Brotaufstriche, Süße Brotaufstriche, Konfitüren und Marmeladen, Früchte, Beeren","Bio, Vegetarisch, EU-Öko-Verordnung, Nicht EU-Landwirtschaft, Vegan, DE-ÖKO-003, en:eg-oko-verordnung, EU-Landwirtschaft, EU-/Nicht-EU-Landwirtschaft, The Vegan Society","23"
"8","4056114005345","Dinkel Hanf-Schoko Kekse mit Macapulver","2","Sommer","Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Imbiss, Getreide und Kartoffeln, Samen, Süßer Snack, Getreideprodukte, Kekse und Kuchen, Getreidekörner, Kekse, Schokoladenkekse, Triticum, Dinkel","Bio, Vegetarisch, EU-Öko-Verordnung, Vegan, DE-ÖKO-006, en:eg-oko-verordnung","24"
"5","4104420016484","Dinkel Flocken","11","Alnatura","Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Frühstücke, Getreide und Kartoffeln, Samen, Getreideprodukte, Frühstückscerealien, Getreidekörner, Getreideflocken, Extrudierte Flocken, Triticum, Dinkel","Bio, EU-Öko-Verordnung, Biodynamische Landwirtschaft, DE-ÖKO-001, Demeter, en:eg-oko-verordnung","25"
"38","4104420145986","Dinkel Knäcke Käse Kürbiskern","18","Alnatura","Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Imbiss, Getreide und Kartoffeln, Salzige Snacks, Samen, Vorspeisen, Getreideprodukte, Getreidekörner, Brote, Crackers, Triticum, Dinkel","Bio, Bioland","26"
"46","4104420145962","Dinkel Knäcke Saaten","7","Alnatura","Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Imbiss, Getreide und Kartoffeln, Salzige Snacks, Samen, Vorspeisen, Getreideprodukte, Getreidekörner, Brote, Crackers, Triticum, Knäckebrote, Dinkel","Bio, Vegetarisch, EU-Öko-Verordnung, Nicht EU-Landwirtschaft, Vegan, Bioland, DE-ÖKO-001, EU-Landwirtschaft, EU-/Nicht-EU-Landwirtschaft, Hergestellt in Deutschland, The Vegan Society","27"
"37","40045122","Alnatura Passata Natur","14","Alnatura","Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Frucht- und gemüsebasierte Lebensmittel, Gemüsebasierte Lebensmittel, Tomaten und Tomatenprodukte, Passierte Tomaten","Bio, EU-Öko-Verordnung, IT-BIO-007","28"
"66","4016249172350","Pflanzlicher Brotaufstrich mit Avocado","6","Allos","Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Brotaufstriche, Pflanzliche Brotaufstriche, Gesalzene Aufstriche","Bio, Vegetarisch, EU-Öko-Verordnung, Glutenfrei, Vegan, DE-ÖKO-003, Grüner Punkt, Hergestellt in Deutschland, en:EU-/Nicht-EU-Landwirtschaft, en:EU-Öko-Verordnung, en:Glutenfrei, en:Laktosefrei","29"
"37","4016249108519","Hof-Gemüse Champignon Zwiebel Brotaufstrich","7","Allos","Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Brotaufstriche, Pflanzliche Brotaufstriche, Gesalzene Aufstriche","Bio, Vegetarisch, EU-Öko-Verordnung, Glutenfrei, Nicht EU-Landwirtschaft, Vegan, DE-ÖKO-003, EU-Landwirtschaft, EU-/Nicht-EU-Landwirtschaft, Grüner Punkt, Hergestellt in Deutschland","30"
"76","4044889004106","100  Edel Bitter","14","Vivani","Snacks, Breakfasts, Sweet snacks, Cocoa and its products, Chocolates, Cooking helpers, Dark chocolates, Pastry helpers, Dark chocolates with cocoa nibs, fr:Chocolat noir en tablette sans sucres ajoutés, fr:chocolat noir 100 % de cacao","Organic, Vegetarian, EU Organic, Non-EU Agriculture, Vegan, DE-ÖKO-013, FSC, FSC Mix, Rainforest Alliance, fr:compostable, fr:sans plastique","31"
"44","4104420131385","Cayenne Pfeffer","1","Alnatura","Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Gewürzmittel, Gewürze, Chilischoten, fr:Capsicum frutescens, en:Cayenne peppers","null","32"
"51","4260655551159","DipDip Hurra Süßkartoffel orientalisch","0","Rettergut","Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Brotaufstriche, Gesalzene Aufstriche, Süßkartoffel-Aufstriche","Bio, Vegetarisch, EU-Öko-Verordnung, Vegan, en:Eg-oko-verordnung","33"
"79","4104420021013","Ahornsirup","12","Alnatura","Süßstoffe, Sirups, Einfache Sirupe, Ahornsirups","Bio, Vegetarisch, EU-Öko-Verordnung, Vegan, en:eg-oko-verordnung, Naturland, The Vegan Society, en:Ca-org-006","34"
"32","4104420225213","Roggenvollkornbrot - Kürbiskern","10","Alnatura","Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Pains, Pains de seigle, Pains complets","Bio, Bio européen, de:Bio 7 Initiative, en:eg-oko-verordnung","35"
"4","4104420232846","Joghurt Reis Waffeln","15","Alnatura","Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Getreide und Kartoffeln, Getreideprodukte, Gepuffte Getreidewaffeln, Gepuffte Reiswaffeln, en:Puffed rice cakes with yogurt","Bio, EU-Öko-Verordnung, Glutenfrei, EU-Landwirtschaft, IT-BIO-007, en:Eg-oko-verordnung","36"
"2","4104420054004","Mais waffeln mit salz","4","Alnatura, Alnatura Amazon 0.59","Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Cereals and their products, de:maiswaffeln","Organic, Vegetarian, EU Organic, No gluten, Vegan, CZ-BIO-001, Eg-oko-verordnung, EU Agriculture, NL-BIO-01, The Vegan Society","37"
"50","4104420242258","Camembert","1","Alnatura","Milchprodukte, Fermentierte Lebensmittel, Fermentierte Milch, Käse, Kuhmilchkäse, Weichkäse, Camembert","Bio, EU-Öko-Verordnung, Naturland","38"
